"","id","faminc","incmiss","black","hisp","afqtpct","momcoll","dadcoll","female","f_dead","attend.college"
"3",15,4.015026,0,0,0,92.49874,0,0,0,0,1
"8",28,4.21200225678271,1,0,0,97.16508,1,1,1,0,0
"13",42,5.710259,0,0,0,29.17712,1,0,0,0,0
"19",62,4.21200225678271,1,0,0,47.39087,0,1,1,0,0
"20",66,7.137824,0,0,0,18.38936,0,1,0,0,1
"25",76,4.21200225678271,1,0,0,40.3161,1,1,0,0,1
"26",77,4.21200225678271,1,0,0,80.33116,1,1,1,0,1
"27",80,4.21200225678271,1,0,0,75.21325,1,1,0,0,1
"28",81,4.21200225678271,1,0,0,34.19468,0,1,0,0,1
"30",91,4.21200225678271,1,0,0,27.92273,0,0,1,0,1
"32",93,3.924639,0,0,0,23.35675,0,0,0,0,0
"33",102,4.21200225678271,1,0,0,60.78775,0,0,1,0,1
"38",121,8.922279,0,0,0,93.90366,1,1,1,0,1
"43",135,6.245596,0,0,0,49.1721,0,0,0,0,1
"48",144,4.21200225678271,1,0,0,45.15805,0,0,1,1,0
"50",146,4.104249,0,0,0,85.77522,0,0,0,0,0
"53",149,8.386943,0,0,0,42.67436,0,0,1,0,0
"62",185,11.25099,0,0,0,53.58755,0,0,0,0,0
"63",187,7.434338,0,0,0,55.44406,0,0,0,0,1
"67",194,6.245596,0,0,0,69.99498,0,0,0,0,1
"68",196,6.245596,0,0,0,98.87105,1,1,0,0,1
"72",211,5.353368,0,0,0,75.26342,0,0,1,0,1
"75",214,10.70674,0,0,0,72.77972,0,1,0,0,1
"77",230,3.457831,0,0,0,45.10788,0,0,0,0,1
"79",233,6.959378,0,0,0,29.85449,0,1,0,0,0
"84",246,6.245596,0,0,0,77.64676,0,0,0,0,1
"88",257,3.925803,0,0,0,72.75464,0,0,0,0,0
"93",271,3.568912,0,0,0,54.59107,0,1,1,0,1
"99",286,4.282694,0,0,1,63.27145,0,0,1,0,1
"101",296,4.21200225678271,1,0,0,37.90768,0,0,0,0,0
"102",298,0.8990361,0,0,1,15.67988,0,0,1,0,0
"103",299,0.8565389,0,0,1,13.32163,0,0,0,0,0
"106",303,1.070674,0,0,1,6.924235,0,0,0,0,0
"107",304,12.96704,0,0,1,3.863523,0,0,0,0,0
"109",311,6.915662,0,0,0,20.07025,0,0,0,0,0
"112",316,3.568912,0,0,0,22.2278,0,0,0,0,0
"114",325,3.568912,0,0,0,80.30607,0,0,0,0,1
"120",355,4.21200225678271,1,0,0,60.93829,0,0,0,1,0
"132",387,4.21200225678271,1,1,0,1.25439,0,0,0,0,0
"135",396,0.6602487,0,1,0,24.98746,0,0,0,0,0
"137",406,5.30947,0,0,0,47.59157,0,0,0,0,1
"141",412,6.051205,0,0,0,78.62519,0,0,0,0,1
"143",418,4.03287,0,0,0,79.55344,1,0,1,0,0
"154",445,5.353368,0,0,0,86.32715,1,1,0,0,1
"156",448,2.593374,0,0,0,3.0858,0,0,0,1,0
"157",451,4.21200225678271,1,0,0,27.67185,0,0,0,0,0
"158",452,1.40972,0,0,0,55.31862,0,0,1,0,1
"164",469,4.21200225678271,1,0,1,34.32012,1,0,0,0,0
"166",475,0.3283399,0,0,0,29.87958,0,0,1,0,0
"174",493,2.498238,0,0,0,69.96989,0,0,0,0,0
"181",515,3.803614,0,0,0,26.21676,0,0,1,0,1
"182",516,1.070674,0,1,0,3.161064,1,0,0,0,0
"184",519,4.21200225678271,1,1,0,1.956849,0,0,1,0,0
"186",523,3.976506,0,1,0,20.77271,0,0,0,0,1
"187",534,6.051205,0,0,0,4.139488,0,0,0,0,0
"188",536,4.668072,0,0,0,2.609132,0,0,1,0,0
"189",537,4.668072,0,0,0,2.759659,0,0,0,0,0
"194",554,7.137824,0,0,0,85.14802,0,1,0,0,1
"198",571,4.21200225678271,1,0,0,77.54641,0,1,0,0,0
"208",606,10.70674,0,0,0,67.05971,0,1,0,0,1
"209",610,11.59896,0,0,0,28.77571,1,1,0,0,0
"211",615,6.959378,0,0,0,19.7441,0,0,1,0,0
"212",616,4.21200225678271,1,0,0,1.103863,0,0,0,0,0
"213",622,4.21200225678271,1,1,0,56.89915,1,1,1,0,1
"215",628,1.158374,0,1,0,4.666332,0,0,0,0,0
"217",637,3.568912,0,0,0,53.61264,0,0,0,0,1
"222",643,2.676684,0,0,0,40.79277,0,1,1,0,0
"225",651,2.676684,0,0,0,77.62167,0,0,0,0,1
"228",657,7.851606,0,0,0,84.29504,1,1,1,0,1
"232",665,12.49119,0,0,0,69.91972,0,1,1,0,1
"234",667,6.245596,0,0,0,79.90466,0,0,0,0,1
"240",675,2.319793,0,1,0,1.480181,0,0,0,0,0
"241",676,4.21200225678271,1,1,0,6.848971,0,0,0,0,0
"248",689,4.322289,0,0,0,43.30156,0,0,1,0,1
"255",714,2.766265,0,0,0,26.94431,0,0,0,0,0
