"","id","faminc","incmiss","black","hisp","afqtpct","momcoll","dadcoll","female","f_dead","attend.college"
"865",2309,0.9961984,0,1,0,23.85851,0,0,0,0,1
"866",2322,5.218182,0,0,0,79.45309,0,0,1,0,0
"868",2324,5.811157,0,0,0,79.47817,1,1,1,0,1
"870",2327,5.433539,1,0,0,48.62017,0,0,0,0,0
"871",2331,3.970631,0,0,0,99.14702,0,0,0,0,1
"872",2341,4.743802,0,0,0,95.70998,0,0,0,0,1
"873",2342,8.359223,0,0,0,48.94631,0,0,1,0,0
"874",2343,9.487603,0,0,0,68.08831,0,0,0,0,1
"875",2344,9.404126,0,0,0,11.79127,0,0,0,0,0
"876",2345,9.471947,0,0,0,40.29102,0,0,0,0,0
"877",2350,5.599632,1,1,0,68.86604,0,0,1,0,1
"878",2351,5.599632,1,1,0,36.45259,0,0,0,0,0
"879",2353,4.357096,0,1,0,25.53939,0,0,0,0,1
"880",2372,5.177845,1,0,0,95.55946,1,0,0,0,0
"884",2382,2.846281,0,0,1,48.7707,0,0,0,0,1
"885",2383,3.788779,0,0,1,58.40442,0,0,1,0,1
"887",2385,4.032231,0,0,1,90.64225,0,0,0,0,0
"888",2386,4.179612,0,0,1,75.08781,0,0,0,0,0
"890",2393,5.433539,1,0,0,65.27847,0,0,0,0,0
"891",2395,2.944952,0,0,1,7.049674,0,0,1,0,0
"892",2400,3.444,0,0,0,76.44255,0,1,1,0,1
"893",2406,5.929752,0,0,0,18.43954,0,0,0,0,1
"894",2409,5.433539,1,0,0,53.51229,0,1,1,0,0
"895",2411,5.433539,1,0,0,54.96738,0,1,1,0,0
"896",2415,3.810221,0,0,0,93.85349,0,1,0,0,0
"897",2422,2.557426,0,0,0,65.12794,0,0,0,0,0
"898",2424,2.841584,0,0,0,71.29955,0,0,1,0,0
"899",2426,3.409901,0,0,0,41.24435,0,0,1,0,1
"900",2432,5.433539,1,0,0,79.05168,1,1,0,0,1
"901",2433,5.177845,1,0,0,72.00201,1,1,1,0,1
"902",2435,0.7577558,0,0,0,93.52734,0,0,1,0,0
"903",2437,9.013224,0,0,0,85.3989,0,1,1,1,1
"904",2438,12.53884,0,0,0,87.75715,0,1,0,0,1
"905",2439,8.524753,0,0,0,74.00903,0,1,0,0,0
"907",2441,4.262376,0,0,0,27.94782,0,0,1,0,0
"908",2443,4.546535,0,0,0,53.18615,0,0,0,0,0
"911",2461,4.179612,0,0,0,52.70948,0,0,1,0,1
"912",2465,2.841584,0,0,0,98.7707,1,0,0,0,1
"913",2467,3.788779,0,0,0,77.04465,0,0,0,0,1
"914",2468,4.597573,0,0,0,92.04716,1,1,0,0,1
"915",2470,3.55267,0,0,0,71.34972,1,0,0,0,0
"918",2475,3.788779,0,0,0,81.6859,0,0,0,0,0
"920",2479,3.76165,0,0,0,63.14601,0,0,0,0,0
"921",2484,5.177845,1,0,0,71.95183,0,0,1,0,0
"922",2486,1.536729,0,0,0,40.59207,0,0,0,0,0
"923",2487,1.536729,0,0,0,19.64375,0,0,0,0,0
"924",2491,5.683168,0,0,0,73.00552,0,0,0,0,1
"927",2502,5.433539,1,0,0,94.2298,1,1,0,0,1
"929",2504,5.599632,1,0,0,70.39639,0,0,0,0,0
"930",2506,1.588252,0,0,0,82.33818,0,0,0,0,0
"931",2509,5.599632,1,0,0,91.3698,0,1,0,0,0
"933",2511,2.846281,0,0,0,96.11139,0,0,1,0,0
"934",2512,6.535644,0,0,0,45.43402,0,0,1,0,0
"936",2515,3.76165,0,0,0,84.54591,0,0,1,0,1
"937",2516,4.179612,0,0,0,71.27446,0,0,0,0,0
"938",2517,5.177845,1,0,0,91.49523,0,0,0,0,0
"939",2520,5.30429,0,0,0,81.51028,1,1,0,0,1
"940",2521,5.177845,1,0,0,21.07376,0,0,1,0,0
"942",2526,3.55267,0,0,0,55.84546,0,0,0,1,0
"944",2528,4.032231,0,0,0,14.35023,0,0,1,0,0
"945",2529,3.904384,0,0,0,30.60712,0,0,1,0,0
"947",2533,9.471947,0,0,0,79.87958,0,0,1,0,1
"948",2538,10.58769,0,0,0,34.59608,0,0,1,0,0
"949",2540,5.433539,1,0,0,38.58505,0,0,0,0,0
"950",2541,3.202066,0,0,0,87.6568,0,0,0,0,1
"951",2542,5.224514,0,0,0,81.66081,0,0,1,0,1
"952",2545,5.692562,0,0,0,74.96236,0,0,0,0,0
"954",2548,2.988595,0,0,0,17.91269,0,0,0,0,0
"955",2551,4.743802,0,0,0,96.63823,0,1,1,0,1
"956",2552,3.220462,0,0,0,90.99348,0,1,1,0,1
"957",2556,5.929752,0,0,0,91.67085,0,0,1,0,0
"959",2558,2.298786,0,0,1,80.20572,0,0,1,0,1
"961",2562,3.068671,0,0,0,91.62067,0,0,0,0,0
"963",2567,5.433539,1,0,0,92.64928,0,0,1,0,1
"964",2570,4.179612,0,0,0,86.80381,0,0,1,0,1
"965",2571,0.549373,0,0,0,91.99699,0,0,0,0,1
"966",2572,4.806553,0,0,0,67.2855,0,0,0,0,1
"967",2574,1.050127,0,0,0,38.43452,0,0,0,0,0
"968",2576,5.177845,1,0,0,81.4852,0,0,0,0,0
"969",2577,5.599632,1,0,0,37.70697,0,0,1,0,0
"970",2578,1.423141,0,0,0,12.41846,0,0,0,0,0
"971",2579,1.404559,0,0,0,87.93276,0,0,0,0,0
"972",2580,5.599632,1,0,0,76.59308,0,0,1,0,0
"973",2581,3.134709,0,0,0,52.33316,0,0,0,0,0
"974",2588,1.897521,0,0,0,99.59859,1,0,1,0,1
"976",2590,8.064463,0,0,0,96.53788,0,0,1,0,0
"977",2591,15.67375,0,0,0,76.46764,0,0,1,0,0
"978",2597,5.177845,1,0,0,43.85349,0,0,0,0,0
"980",2603,11.70291,0,0,0,75.96588,0,0,1,0,1
"982",2610,3.134709,0,0,0,88.45961,0,0,0,0,0
"983",2611,7.31432,0,0,0,74.78675,0,0,0,0,1
"984",2614,3.557851,0,0,0,27.3708,0,0,0,0,0
"986",2622,5.177845,1,0,0,85.04767,0,0,1,0,1
"987",2626,2.134711,0,0,0,81.18414,0,0,1,0,1
"989",2629,7.366175,0,0,0,63.1711,0,1,1,0,0
"991",2631,5.599632,1,0,0,92.57401,0,0,0,0,0
"992",2633,3.343689,0,0,0,98.69543,0,1,0,0,1
"993",2638,5.177845,1,0,0,52.93527,0,0,1,0,1
"994",2642,5.224514,0,0,0,87.70698,1,1,0,0,1
"995",2643,3.134709,0,0,1,55.11791,0,0,0,0,0
"997",2648,5.683168,0,0,1,49.59859,0,0,1,0,1
"998",2649,1.712512,0,0,1,93.72805,0,1,0,0,1
"999",2650,2.089806,0,0,1,74.33517,0,1,0,0,0
"1001",2654,0.8589101,0,0,1,21.22429,0,0,1,0,0
"1002",2657,5.177845,1,0,1,18.5148,0,0,1,0,1
"1003",2665,3.343689,0,0,1,22.52885,0,0,0,0,0
"1004",2669,3.283503,0,0,1,51.93176,0,0,1,0,0
"1005",2677,5.177845,1,0,1,38.13346,0,0,1,0,0
"1006",2678,2.700029,0,0,1,81.98695,0,0,1,0,1
"1007",2680,5.599632,1,0,0,93.15102,0,1,1,0,1
"1008",2687,3.320661,0,0,1,51.60562,0,0,0,0,1
"1009",2690,1.604971,0,0,1,39.0868,0,0,1,0,0
"1011",2692,3.320661,0,0,1,19.142,0,0,1,1,0
"1012",2695,1.704951,0,0,1,65.17812,0,0,1,0,1
"1014",2699,0.731432,0,0,1,28.82589,0,0,1,0,0
"1015",2700,2.92482,1,0,1,3.010537,0,0,1,1,0
"1016",2701,1.153573,0,0,1,36.35223,0,0,1,1,1
"1019",2708,1.89439,0,0,1,21.27446,0,0,0,0,0
"1022",2714,7.115702,0,0,0,96.51279,0,1,0,0,1
"1024",2718,5.599632,1,1,0,23.13096,0,0,0,0,0
"1025",2722,4.179612,0,0,0,24.76167,0,0,1,0,0
"1027",2727,2.161499,0,0,0,74.63623,0,0,1,0,1
"1028",2731,11.28495,0,0,0,49.72403,0,0,1,0,1
"1029",2732,4.357096,0,0,0,42.92524,0,0,0,0,0
