iduser,pop57,edfa57q,edmo57q,sesp57,hsdm57,hsrankq,tchevl,gwiiq_bm,relfml,milty,mlentr,mx014rer,mx015rer,iduser0,sexrsp,packyears,edfa57qmis,edmo57qmis,sesp57mis,hsrankqmis
167007,3,12,12,3,1,-3,0,133,1,1,4,30,2,1,,60,0,0,0,1
167008,3,10,10,3,1,75,0,113,1,0,-2,0,0,1,,0,0,0,0,0
168001,2,7,7,2,3,13,0,76,43,1,1,40,2,1,,80,0,0,0,0
168002,2,10,10,-3,3,54,0,86,38,1,2,20,2,1,,40,0,0,1,0
168009,2,16,16,5,3,-3,0,87,38,1,2,20,1,1,,20,0,0,0,1
169001,2,7,10,1,2,6,0,71,1,0,-2,38,1,1,,38,0,0,0,0
169006,2,7,10,3,2,12,0,104,1,1,1,0,0,1,,0,0,0,0,0
170004,2,10,10,3,3,-3,0,99,43,0,-2,25,1,1,,25,0,0,0,1
170007,2,7,-1,3,3,10,0,88,40,1,2,34,1,1,,34,0,1,0,0
171004,3,7,7,3,3,43,0,103,1,0,-2,0,0,1,,0,0,0,0,0
171009,3,7,7,-3,3,91,0,117,43,0,-2,0,0,1,,0,0,0,1,0
171018,3,12,12,1,3,62,0,120,39,0,-2,0,0,1,,0,0,0,0,0
171020,3,12,10,3,3,75,0,109,96,0,-2,30,0,1,,0,0,0,0,0
171022,3,14,14,3,3,42,0,118,39,1,2,30,1,1,,30,0,0,0,0
172001,5,10,10,3,3,73,0,94,1,0,-2,15,1,1,,15,0,0,0,0
172003,5,16,16,4,3,82,0,139,41,1,1,20,1,1,,20,0,0,0,0
172006,5,12,12,4,3,56,0,133,40,1,4,8,1,1,,8,0,0,0,0
172007,5,12,12,4,3,24,0,101,39,1,2,0,0,1,,0,0,0,0,0
172016,5,16,16,2,3,63,0,124,41,0,-2,0,0,1,,0,0,0,0,0
172025,5,18,16,5,3,76,0,139,40,0,-2,0,0,1,,0,0,0,0,0
172028,5,16,12,4,3,45,0,118,41,1,2,0,0,1,,0,0,0,0,0
172030,5,14,14,-3,3,21,0,112,41,0,-2,0,0,1,,0,0,0,1,0
172035,5,18,12,3,3,53,0,123,7,0,-2,0,0,1,,0,0,0,0,0
172040,5,18,18,3,3,87,0,133,43,1,0,15,2,1,,30,0,0,0,0
173001,3,7,7,2,3,34,0,104,39,1,2,20,0,1,,0,0,0,0,0
173004,3,16,16,4,3,76,0,121,38,0,-2,20,2,1,,40,0,0,0,0
174005,4,12,12,4,3,63,0,106,1,1,1,0,0,1,,0,0,0,0,0
174008,4,7,7,3,3,44,0,102,39,0,-2,0,0,1,,0,0,0,0,0
174009,4,7,7,2,3,4,0,82,1,0,-2,40,1,1,,40,0,0,0,0
174012,4,7,7,3,3,41,0,83,1,0,-2,29,3,1,,87,0,0,0,0
174015,4,13,7,3,3,99,1,99,1,0,-2,30,1,1,,30,0,0,0,0
174017,4,-1,-1,3,3,19,0,81,1,0,-2,5,1,1,,5,1,1,0,0
174022,4,10,7,2,3,57,0,97,1,0,-2,27,2,1,,54,0,0,0,0
175002,5,7,10,3,3,31,0,87,39,1,2,20,0,1,,0,0,0,0,0
175004,5,-3,-3,3,3,59,0,99,1,1,2,6,0,1,,0,1,1,0,0
175005,5,7,7,3,3,91,0,101,18,0,-2,0,0,1,,0,0,0,0,0
175006,5,10,10,3,3,39,0,96,39,0,-2,10,1,1,,10,0,0,0,0
175010,5,12,10,3,3,81,0,101,1,0,-2,20,1,1,,20,0,0,0,0
175012,5,12,12,3,3,66,0,101,39,1,2,0,0,1,,0,0,0,0,0
175013,5,10,12,3,3,19,0,93,1,1,2,0,0,1,,0,0,0,0,0
175017,5,7,7,4,3,19,0,103,39,0,-2,10,0,1,,0,0,0,0,0
175018,5,7,12,2,3,68,0,118,1,1,2,8,2,1,,16,0,0,0,0
175025,5,10,12,3,3,14,0,99,39,0,-2,15,1,1,,15,0,0,0,0
175026,5,7,10,3,3,41,0,94,1,0,-2,0,0,1,,0,0,0,0,0
175034,5,7,10,3,3,40,0,98,1,1,1,10,1,1,,10,0,0,0,0
175040,5,7,7,3,3,93,0,106,1,0,-2,15,3,1,,45,0,0,0,0
175041,5,10,10,3,3,9,0,109,1,1,2,0,0,1,,0,0,0,0,0
175042,5,10,10,3,3,59,0,106,39,1,2,35,3,1,,105,0,0,0,0
175044,5,12,10,2,3,31,0,96,1,0,-2,0,0,1,,0,0,0,0,0
177003,2,7,7,3,1,24,0,98,1,1,2,25,1,1,,25,0,0,0,0
177005,2,-1,-1,2,1,0,0,67,1,1,2,10,1,1,,10,1,1,0,0
