iduser,pop57,edfa57q,edmo57q,sesp57,hsdm57,hsrankq,tchevl,gwiiq_bm,relfml,milty,mlentr,mx014rer,mx015rer,iduser0,sexrsp,packyears,edfa57qmis,edmo57qmis,sesp57mis,hsrankqmis
203004,3,7,10,2,3,48,0,102,39,1,2,30,2,1,,60,0,0,0,0
203006,3,7,7,3,3,31,0,111,96,0,-2,18,3,1,,54,0,0,0,0
203012,3,7,7,3,3,82,0,129,39,0,-2,0,0,1,,0,0,0,0,0
203015,3,7,7,3,3,-3,0,101,38,0,-2,0,0,1,,0,0,0,0,1
203019,3,16,16,4,3,-3,0,102,1,0,-2,2,1,1,,2,0,0,0,1
204008,3,18,16,3,3,86,1,109,40,0,-2,10,1,1,,10,0,0,0,0
204010,3,10,10,3,3,68,1,103,43,1,2,0,0,1,,0,0,0,0,0
204012,3,7,7,3,3,56,0,94,39,0,-2,0,0,1,,0,0,0,0,0
205005,2,10,12,3,3,54,1,91,43,1,2,6,1,1,,6,0,0,0,0
205009,2,12,10,3,3,81,0,111,43,1,2,25,2,1,,50,0,0,0,0
206001,3,7,12,3,3,90,1,121,43,1,2,0,0,1,,0,0,0,0,0
206006,3,12,12,3,3,96,1,106,43,1,2,27,1,1,,27,0,0,0,0
206008,3,7,7,3,3,41,0,120,1,1,2,20,3,1,,60,0,0,0,0
206009,3,7,7,2,3,8,0,85,39,1,1,0,0,1,,0,0,0,0,0
206011,3,7,10,3,3,18,0,83,39,1,2,30,1,1,,30,0,0,0,0
206017,3,12,10,3,3,30,0,109,43,0,-2,12,1,1,,12,0,0,0,0
206019,3,7,16,3,3,65,0,129,39,1,2,0,0,1,,0,0,0,0,0
206020,3,7,12,3,3,71,1,124,39,1,2,0,0,1,,0,0,0,0,0
206021,3,10,10,2,3,89,1,121,43,1,1,0,0,1,,0,0,0,0,0
206023,3,12,12,3,3,74,0,109,39,0,-2,4,0,1,,0,0,0,0,0
206025,3,14,14,4,3,60,0,102,43,0,-2,30,6,1,,180,0,0,0,0
207003,2,-3,-3,-3,3,-3,0,104,1,0,-2,3,0,1,,0,1,1,1,1
208007,2,-1,-1,3,3,-3,0,111,39,0,-2,9,1,1,,9,1,1,0,1
208008,2,12,12,3,3,-3,0,98,44,1,2,35,1,1,,35,0,0,0,1
208009,2,7,10,3,3,14,0,82,1,1,1,30,3,1,,90,0,0,0,0
209002,7,7,12,5,2,55,0,102,39,1,2,20,1,1,,20,0,0,0,0
210001,3,-1,-1,5,3,26,0,76,1,1,2,0,0,1,,0,1,1,0,0
210003,3,7,7,3,3,71,0,118,1,1,1,36,2,1,,72,0,0,0,0
210005,3,7,7,3,3,45,0,91,1,1,2,25,0,1,,0,0,0,0,0
210013,3,7,7,3,3,3,0,89,1,0,-2,0,0,1,,0,0,0,0,0
211005,4,16,14,3,3,77,1,129,38,1,2,0,0,1,,0,0,0,0,0
211009,4,-1,-1,3,3,46,0,112,44,1,2,29,2,1,,58,1,1,0,0
212007,3,7,10,3,3,26,0,112,1,0,-2,30,3,1,,90,0,0,0,0
213006,2,10,10,3,3,38,0,81,39,1,2,35,1,1,,35,0,0,0,0
214004,4,10,16,3,3,81,1,109,1,1,2,0,0,1,,0,0,0,0,0
214008,4,14,12,3,3,26,0,121,1,0,-2,27,2,1,,54,0,0,0,0
214009,4,12,12,3,3,87,1,118,40,0,-2,0,0,1,,0,0,0,0,0
214010,4,-1,-1,2,3,38,0,102,1,0,-2,16,1,1,,16,1,1,0,0
214012,4,16,16,4,3,77,1,113,1,0,-2,16,1,1,,16,0,0,0,0
214019,4,14,7,4,3,86,1,139,39,0,-2,0,0,1,,0,0,0,0,0
214020,4,10,14,3,3,32,0,87,1,1,2,0,0,1,,0,0,0,0,0
214035,4,7,7,3,3,53,0,96,1,0,-2,0,0,1,,0,0,0,0,0
214044,4,12,12,3,3,41,0,117,39,1,2,4,1,1,,4,0,0,0,0
214048,4,-1,-1,4,3,62,0,102,39,1,2,25,1,1,,25,1,1,0,0
214050,4,10,10,3,3,35,0,121,96,0,-2,30,1,1,,30,0,0,0,0
214051,4,7,7,3,3,41,0,82,40,1,2,38,2,1,,76,0,0,0,0
214053,4,10,10,3,3,24,0,88,39,0,-2,0,0,1,,0,0,0,0,0
215001,2,7,13,3,3,32,0,93,1,0,-2,35,0,1,,0,0,0,0,0
215006,2,10,-3,3,3,11,0,93,96,1,2,30,1,1,,30,0,1,0,0
216002,2,7,7,3,3,39,0,81,39,0,-2,38,2,1,,76,0,0,0,0
217001,3,7,7,3,3,94,1,124,1,1,2,0,0,1,,0,0,0,0,0
217002,3,7,7,2,3,25,0,94,43,1,2,0,0,1,,0,0,0,0,0
217005,3,7,7,3,3,83,1,112,43,0,-2,0,0,1,,0,0,0,0,0
217006,3,7,7,3,3,69,1,113,1,0,-2,27,1,1,,27,0,0,0,0
217010,3,10,-3,3,3,2,0,75,44,1,1,30,0,1,,0,0,1,0,0
217011,3,7,7,3,3,19,0,94,1,1,2,30,1,1,,30,0,0,0,0
217015,3,7,10,3,3,21,0,99,40,1,2,30,0,1,,0,0,0,0,0
218006,2,7,14,3,3,29,0,98,43,1,2,0,0,1,,0,0,0,0,0
218007,2,7,7,4,3,29,0,107,1,1,1,0,0,1,,0,0,0,0,0
219002,2,7,7,3,3,68,0,98,39,1,2,0,0,1,,0,0,0,0,0
219008,2,7,16,3,3,81,0,115,43,0,-2,0,0,1,,0,0,0,0,0
219011,2,14,12,4,3,24,0,97,18,1,2,0,0,1,,0,0,0,0,0
220006,2,7,7,3,3,79,1,113,1,1,1,37,1,1,,37,0,0,0,0
220007,2,-1,-1,3,3,2,0,71,39,1,2,33,1,1,,33,1,1,0,0
220008,2,10,12,3,3,33,0,93,1,1,2,40,2,1,,80,0,0,0,0
221006,6,10,7,3,1,-3,0,104,1,0,-2,0,0,1,,0,0,0,0,1
221007,6,12,13,3,1,50,0,118,1,0,-2,20,1,1,,20,0,0,0,0
221014,6,12,12,3,1,24,0,103,1,0,-2,14,0,1,,0,0,0,0,0
221015,6,13,12,3,1,27,0,85,1,0,-2,0,0,1,,0,0,0,0,0
221030,6,7,12,4,1,94,0,102,1,1,2,8,1,1,,8,0,0,0,0
221031,6,7,7,3,1,84,0,109,1,0,-2,0,0,1,,0,0,0,0,0
221041,6,-1,-1,3,1,2,0,73,1,1,1,37,2,1,,74,1,1,0,0
221045,6,12,10,3,1,-3,0,102,1,0,-2,30,1,1,,30,0,0,0,1
221048,6,7,14,3,1,74,0,120,1,1,2,0,0,1,,0,0,0,0,0
221054,6,12,14,2,1,-3,0,86,1,1,2,10,2,1,,20,0,0,0,1
221058,6,14,12,3,1,38,0,106,1,0,-2,5,1,1,,5,0,0,0,0
221059,6,7,10,3,1,22,0,93,1,0,-2,20,1,1,,20,0,0,0,0
221063,6,7,7,2,1,48,0,96,1,0,-2,15,2,1,,30,0,0,0,0
221064,6,-1,-1,3,1,8,0,92,1,1,2,18,2,1,,36,1,1,0,0
221065,6,7,13,3,1,-3,0,86,1,0,-2,40,5,1,,200,0,0,0,1
222002,2,7,12,3,3,83,1,92,39,1,2,0,0,1,,0,0,0,0,0
223005,4,12,10,4,3,36,0,106,39,1,2,36,1,1,,36,0,0,0,0
223016,4,10,7,3,3,43,0,89,39,0,-2,0,0,1,,0,0,0,0,0
223019,4,13,13,3,3,17,0,92,1,1,2,10,0,1,,0,0,0,0,0
223022,4,7,7,3,3,3,0,98,1,1,2,35,2,1,,70,0,0,0,0
224001,2,7,7,3,3,56,0,83,39,0,-2,17,2,1,,34,0,0,0,0
224002,2,12,7,3,3,41,0,91,1,0,-2,0,0,1,,0,0,0,0,0
224006,2,7,7,3,3,9,0,88,39,1,2,34,1,1,,34,0,0,0,0
225001,2,7,10,3,3,58,0,102,39,0,-2,0,0,1,,0,0,0,0,0
225002,2,7,7,3,3,16,0,97,1,0,-2,35,1,1,,35,0,0,0,0
226001,4,12,12,3,3,49,0,85,39,0,-2,27,1,1,,27,0,0,0,0
226006,4,7,12,3,3,60,0,93,39,0,-2,15,0,1,,0,0,0,0,0
226014,4,12,12,3,3,83,1,124,43,0,-2,25,1,1,,25,0,0,0,0
226018,4,7,10,4,3,66,0,89,39,1,2,17,5,1,,85,0,0,0,0
226019,4,13,7,2,3,28,0,103,39,1,2,25,2,1,,50,0,0,0,0
226021,4,-1,14,4,3,17,0,94,40,0,-2,0,0,1,,0,1,0,0,0
227001,2,7,12,3,3,32,0,118,1,0,-2,0,0,1,,0,0,0,0,0
227005,2,-1,-1,3,3,78,1,106,96,0,-2,0,0,1,,0,1,1,0,0
227006,2,7,10,2,3,45,0,86,1,0,-2,25,1,1,,25,0,0,0,0
227007,2,12,12,3,3,35,0,104,43,1,2,10,1,1,,10,0,0,0,0
228004,3,18,16,3,3,66,0,111,43,0,-2,10,5,1,,50,0,0,0,0
228008,3,10,13,3,3,50,0,103,1,1,2,0,0,1,,0,0,0,0,0
228016,3,7,-3,3,3,8,0,97,1,1,2,0,0,1,,0,0,1,0,0
228018,3,12,12,3,3,29,0,92,44,1,2,15,1,1,,15,0,0,0,0
229004,2,12,7,3,3,38,0,82,39,1,2,0,0,1,,0,0,0,0,0
230002,9,14,14,2,3,80,1,120,39,0,-2,22,1,1,,22,0,0,0,0
230007,9,10,10,3,3,50,0,92,1,1,1,14,1,1,,14,0,0,0,0
230009,9,10,13,3,3,51,0,87,39,0,-2,25,0,1,,0,0,0,0,0
230010,9,14,14,3,3,25,0,97,1,0,-2,0,0,1,,0,0,0,0,0
230012,9,16,12,3,3,34,0,102,1,0,-2,0,0,1,,0,0,0,0,0
230018,9,-1,-3,4,3,24,0,106,39,1,1,20,3,1,,60,1,1,0,0
230021,9,7,7,3,3,52,0,98,39,0,-2,30,1,1,,30,0,0,0,0
230022,9,12,13,3,3,-3,0,103,39,1,4,0,0,1,,0,0,0,0,1
230027,9,16,10,3,3,96,1,118,44,0,-2,0,0,1,,0,0,0,0,0
230030,9,10,13,3,3,27,0,102,96,1,2,29,1,1,,29,0,0,0,0
230032,9,-1,-1,3,3,48,0,92,39,1,1,10,1,1,,10,1,1,0,0
230040,9,10,12,3,3,58,0,109,39,0,-2,20,1,1,,20,0,0,0,0
230041,9,10,13,3,3,74,0,98,39,1,2,0,0,1,,0,0,0,0,0
230051,9,10,-3,4,3,45,0,93,39,0,-2,0,0,1,,0,0,1,0,0
230061,9,12,12,4,3,49,0,103,39,1,1,3,2,1,,6,0,0,0,0
230063,9,7,7,3,3,41,0,89,1,0,-2,5,1,1,,5,0,0,0,0
230068,9,12,12,3,3,36,0,97,43,0,-2,5,0,1,,0,0,0,0,0
230069,9,7,10,3,3,70,0,129,39,0,-2,27,2,1,,54,0,0,0,0
230075,9,7,10,3,3,10,0,123,39,1,1,30,2,1,,60,0,0,0,0
230078,9,7,13,4,3,72,0,102,1,0,-2,36,2,1,,72,0,0,0,0
230088,9,10,12,3,3,39,0,93,39,1,2,20,1,1,,20,0,0,0,0
230089,9,7,12,4,3,18,0,93,39,0,-2,3,1,1,,3,0,0,0,0
230092,9,7,12,3,3,81,0,104,39,1,1,0,0,1,,0,0,0,0,0
231003,5,7,10,4,3,93,1,133,39,0,-2,0,0,1,,0,0,0,0,0
231008,5,12,12,2,3,1,0,92,1,0,-2,20,0,1,,0,0,0,0,0
231009,5,7,7,4,3,44,0,92,1,0,-2,30,1,1,,30,0,0,0,0
231010,5,13,7,3,3,92,1,125,1,0,-2,35,1,1,,35,0,0,0,0
231016,5,13,10,3,3,20,0,111,1,1,2,17,1,1,,17,0,0,0,0
231032,5,7,10,3,3,56,0,123,1,1,2,46,2,1,,92,0,0,0,0
231033,5,16,16,3,3,83,0,111,39,1,1,16,1,1,,16,0,0,0,0
231034,5,7,7,-3,3,47,0,120,1,1,2,9,3,1,,27,0,0,1,0
231039,5,16,16,4,3,78,1,111,40,1,4,2,0,1,,0,0,0,0,0
231044,5,14,12,3,3,11,0,101,1,1,2,6,0,1,,0,0,0,0,0
231051,5,10,12,3,3,11,0,101,1,1,1,25,2,1,,50,0,0,0,0
231054,5,7,7,5,3,35,0,79,1,0,-2,12,1,1,,12,0,0,0,0
232003,2,7,7,3,3,-3,0,91,39,0,-2,0,0,1,,0,0,0,0,1
232018,2,7,10,3,3,-3,0,127,96,1,2,5,2,1,,10,0,0,0,1
232025,2,10,10,3,3,-3,0,96,1,1,2,15,1,1,,15,0,0,0,1
232028,2,7,7,1,3,-3,0,111,39,1,2,20,1,1,,20,0,0,0,1
232029,2,7,10,2,3,-3,0,104,43,1,2,18,2,1,,36,0,0,0,1
232047,2,7,10,4,3,-3,0,93,39,1,2,0,0,1,,0,0,0,0,1
232048,2,7,10,3,3,-3,0,101,44,0,-2,0,0,1,,0,0,0,0,1
232054,2,12,16,3,3,32,0,111,44,1,2,20,1,1,,20,0,0,0,0
232055,2,12,12,3,3,55,0,104,39,1,4,25,2,1,,50,0,0,0,0
232056,2,12,10,4,3,85,0,104,39,0,-2,0,0,1,,0,0,0,0,0
232059,2,12,7,2,3,96,0,111,1,1,2,7,1,1,,7,0,0,0,0
232068,2,12,16,3,3,-3,0,113,40,1,2,28,2,1,,56,0,0,0,1
232072,2,14,12,4,3,-3,0,133,41,1,4,20,3,1,,60,0,0,0,1
232075,2,10,7,3,3,-3,0,77,40,0,-2,25,0,1,,0,0,0,0,1
232079,2,10,10,3,3,-3,0,101,68,0,-2,30,2,1,,60,0,0,0,1
232081,2,7,10,3,3,30,0,99,1,1,2,25,3,1,,75,0,0,0,0
232085,2,13,-1,3,3,2,0,98,39,1,2,0,0,1,,0,0,1,0,0
232088,2,18,12,5,3,-3,0,125,1,0,-2,7,2,1,,14,0,0,0,1
232089,2,7,12,4,3,18,0,98,39,1,2,20,1,1,,20,0,0,0,0
232106,2,10,10,3,3,24,0,107,1,0,-2,0,0,1,,0,0,0,0,0
232118,2,10,10,3,3,-3,0,118,96,1,2,3,1,1,,3,0,0,0,1
232119,2,7,7,3,3,-3,0,92,1,0,-2,27,1,1,,27,0,0,0,1
232123,2,12,12,3,3,67,0,118,1,1,4,35,3,1,,105,0,0,0,0
232126,2,12,12,3,3,47,0,133,1,0,-2,20,2,1,,40,0,0,0,0
232128,2,13,10,4,3,-3,0,133,1,0,-2,0,0,1,,0,0,0,0,1
232129,2,10,10,3,3,81,0,123,40,1,2,32,6,1,,192,0,0,0,0
232132,2,12,10,3,3,-3,0,109,96,1,2,6,2,1,,12,0,0,0,1
232135,2,12,13,3,3,98,0,129,40,0,-2,25,0,1,,0,0,0,0,0
232141,2,12,12,3,3,-3,0,96,41,1,1,37,2,1,,74,0,0,0,1
232142,2,10,10,3,3,22,0,86,43,1,1,15,1,1,,15,0,0,0,0
232143,2,10,12,2,3,-3,0,118,1,0,-2,0,0,1,,0,0,0,0,1
232145,2,7,10,1,3,-3,0,87,1,1,2,15,0,1,,0,0,0,0,1
232151,2,7,10,3,3,69,0,120,1,0,-2,7,2,1,,14,0,0,0,0
233006,5,7,12,3,3,31,0,109,18,1,2,22,3,1,,66,0,0,0,0
233011,5,16,16,2,3,66,0,118,40,0,-2,3,1,1,,3,0,0,0,0
233013,5,14,14,4,3,85,0,109,96,0,-2,30,2,1,,60,0,0,0,0
233015,5,13,12,4,3,42,0,103,1,1,2,0,0,1,,0,0,0,0,0
233016,5,7,12,3,3,47,0,106,38,1,1,0,0,1,,0,0,0,0,0
233018,5,12,12,4,3,35,0,82,1,1,2,30,1,1,,30,0,0,0,0
233026,5,12,12,3,3,82,1,124,39,0,-2,0,0,1,,0,0,0,0,0
233030,5,16,16,3,3,94,1,113,38,1,1,0,0,1,,0,0,0,0,0
233034,5,10,12,4,3,64,0,117,1,0,-2,20,3,1,,60,0,0,0,0
233040,5,16,14,4,3,99,1,123,1,0,-2,0,0,1,,0,0,0,0,0
234001,2,14,16,2,1,41,0,112,1,1,2,6,2,1,,12,0,0,0,0
235001,4,7,10,2,3,20,0,85,43,1,1,20,2,1,,40,0,0,0,0
235005,4,7,16,3,3,31,0,97,39,0,-2,0,0,1,,0,0,0,0,0
235009,4,10,12,4,3,24,0,94,1,0,-2,25,1,1,,25,0,0,0,0
235010,4,14,13,4,3,38,0,115,43,0,-2,20,2,1,,40,0,0,0,0
235013,4,18,16,5,3,71,0,112,1,0,-2,0,0,1,,0,0,0,0,0
236003,9,12,10,2,3,12,0,99,39,1,2,4,2,1,,8,0,0,0,0
236004,9,-1,-1,3,3,28,0,99,1,1,2,0,0,1,,0,1,1,0,0
236026,9,16,16,4,3,98,1,129,39,0,-2,0,0,1,,0,0,0,0,0
236038,9,14,12,3,3,77,0,106,39,1,2,0,0,1,,0,0,0,0,0
236039,9,7,7,3,3,30,0,120,1,1,2,0,0,1,,0,0,0,0,0
236041,9,13,10,3,3,31,0,94,1,1,1,30,1,1,,30,0,0,0,0
236050,9,7,10,2,3,4,0,104,40,1,1,0,0,1,,0,0,0,0,0
236053,9,13,12,3,3,71,1,104,39,0,-2,35,2,1,,70,0,0,0,0
236055,9,7,7,3,3,65,0,98,1,1,1,12,2,1,,24,0,0,0,0
236058,9,12,12,4,3,21,0,94,39,1,1,25,2,1,,50,0,0,0,0
236060,9,16,7,4,3,96,0,124,39,0,-2,0,0,1,,0,0,0,0,0
236062,9,7,10,3,3,12,0,112,38,0,-2,30,1,1,,30,0,0,0,0
236063,9,-3,-3,3,3,85,1,124,1,0,-2,0,0,1,,0,1,1,0,0
236065,9,12,12,3,3,98,1,117,18,0,-2,32,1,1,,32,0,0,0,0
236069,9,10,-3,3,3,9,0,97,1,1,1,38,2,1,,76,0,1,0,0
236073,9,13,12,4,3,55,0,81,1,0,-2,25,1,1,,25,0,0,0,0
236077,9,7,7,-3,3,22,0,102,1,1,2,30,2,1,,60,0,0,1,0
236082,9,7,10,3,3,15,0,102,1,0,-2,10,0,1,,0,0,0,0,0
236084,9,13,12,3,3,87,1,133,1,1,2,0,0,1,,0,0,0,0,0
236089,9,-3,-3,-3,3,82,0,127,1,0,-2,0,0,1,,0,1,1,1,0
236091,9,-3,12,4,3,95,1,139,39,0,-2,0,0,1,,0,1,0,0,0
236092,9,12,12,4,3,9,0,91,1,0,-2,20,1,1,,20,0,0,0,0
236093,9,12,12,3,3,7,0,93,1,0,-2,30,1,1,,30,0,0,0,0
236094,9,10,10,3,3,60,1,106,1,0,-2,15,1,1,,15,0,0,0,0
236096,9,10,10,3,3,91,1,139,1,1,4,20,2,1,,40,0,0,0,0
236099,9,12,12,2,3,68,0,96,39,0,-2,0,0,1,,0,0,0,0,0
236103,9,12,10,3,3,84,0,115,43,1,2,7,0,1,,0,0,0,0,0
236123,9,13,13,3,3,21,0,111,1,0,-2,0,0,1,,0,0,0,0,0
236134,9,7,-1,3,3,38,0,85,1,0,-2,5,1,1,,5,0,1,0,0
236140,9,-1,-1,3,3,43,0,106,1,1,2,35,1,1,,35,1,1,0,0
236142,9,13,7,2,3,84,0,123,1,1,1,12,3,1,,36,0,0,0,0
236146,9,7,7,4,3,20,0,86,1,0,-2,30,0,1,,0,0,0,0,0
237001,2,7,12,3,3,24,0,99,1,1,2,0,0,1,,0,0,0,0,0
237003,2,10,16,3,3,97,1,118,39,0,-2,0,0,1,,0,0,0,0,0
238001,2,12,7,3,3,52,0,101,1,0,-2,37,1,1,,37,0,0,0,0
239004,3,16,16,3,3,79,0,112,40,0,-2,15,1,1,,15,0,0,0,0
240002,2,7,7,3,3,12,0,97,1,0,-2,2,1,1,,2,0,0,0,0
241004,5,7,7,-3,3,39,0,96,39,1,2,15,1,1,,15,0,0,1,0
241005,5,12,-1,2,3,61,0,111,1,1,1,10,1,1,,10,0,1,0,0
241011,5,14,18,4,3,59,0,120,1,0,-2,0,0,1,,0,0,0,0,0
241017,5,7,7,2,3,26,0,109,1,1,2,10,2,1,,20,0,0,0,0
241023,5,16,16,4,3,99,1,129,41,1,0,0,0,1,,0,0,0,0,0
242002,2,7,7,3,3,41,0,115,96,0,-2,35,1,1,,35,0,0,0,0
242003,2,10,7,3,3,51,0,93,43,0,-2,34,0,1,,0,0,0,0,0
242010,2,10,12,3,3,20,0,117,1,0,-2,4,0,1,,0,0,0,0,0
242015,2,12,12,2,3,76,0,125,43,1,2,0,0,1,,0,0,0,0,0
243005,6,12,10,4,3,44,0,109,39,0,-2,0,0,1,,0,0,0,0,0
243006,6,14,13,3,3,93,0,109,39,0,-2,0,0,1,,0,0,0,0,0
243010,6,7,7,3,3,41,0,94,39,0,-2,10,2,1,,20,0,0,0,0
243011,6,16,12,1,3,85,1,127,96,0,-2,35,1,1,,35,0,0,0,0
243014,6,12,12,2,3,95,0,139,43,0,-2,0,0,1,,0,0,0,0,0
243017,6,12,12,3,3,44,0,78,38,1,2,0,0,1,,0,0,0,0,0
243022,6,10,10,4,3,68,0,106,41,0,-2,30,0,1,,0,0,0,0,0
243032,6,10,10,3,3,81,0,99,43,0,-2,0,0,1,,0,0,0,0,0
243035,6,12,7,4,3,20,0,102,39,1,2,30,1,1,,30,0,0,0,0
243037,6,7,7,4,3,68,0,120,39,0,-2,0,0,1,,0,0,0,0,0
243038,6,14,13,4,3,14,0,101,39,1,2,21,1,1,,21,0,0,0,0
243044,6,7,12,3,3,76,0,115,22,0,-2,0,0,1,,0,0,0,0,0
243048,6,12,12,4,3,32,0,99,40,0,-2,0,0,1,,0,0,0,0,0
243049,6,16,16,4,3,88,1,121,38,0,-2,0,0,1,,0,0,0,0,0
243055,6,16,16,4,3,44,0,104,39,1,4,25,2,1,,50,0,0,0,0
243056,6,7,7,3,3,63,0,104,39,0,-2,0,0,1,,0,0,0,0,0
243059,6,-3,-3,3,3,11,0,93,39,1,2,30,1,1,,30,1,1,0,0
243061,6,16,16,4,3,89,1,123,43,0,-2,0,0,1,,0,0,0,0,0
243068,6,13,14,3,3,99,1,120,38,0,-2,0,0,1,,0,0,0,0,0
243071,6,-1,12,3,3,21,0,107,96,0,-2,20,1,1,,20,1,0,0,0
243074,6,12,10,3,3,6,0,83,39,0,-2,35,4,1,,140,0,0,0,0
244001,2,7,10,3,3,29,0,111,43,1,2,35,1,1,,35,0,0,0,0
244005,2,7,7,3,3,36,0,106,40,1,2,20,1,1,,20,0,0,0,0
245001,7,7,7,2,3,91,0,125,39,1,2,0,0,1,,0,0,0,0,0
245007,7,7,12,3,3,59,0,106,39,1,2,16,2,1,,32,0,0,0,0
245010,7,7,12,3,3,-3,0,107,1,0,-2,10,1,1,,10,0,0,0,1
245011,7,12,10,3,3,-3,0,107,39,1,2,18,0,1,,0,0,0,0,1
245012,7,13,12,3,3,58,0,99,39,1,2,2,1,1,,2,0,0,0,0
245017,7,7,7,3,3,68,0,98,38,0,-2,43,2,1,,86,0,0,0,0
245019,7,12,12,3,3,4,0,88,96,0,-2,15,1,1,,15,0,0,0,0
245026,7,14,13,4,3,-3,0,89,1,0,-2,0,0,1,,0,0,0,0,1
245042,7,13,7,4,3,93,0,115,1,1,2,0,0,1,,0,0,0,0,0
245045,7,7,10,2,3,-3,0,109,39,0,-2,7,2,1,,14,0,0,0,1
245050,7,14,7,4,3,31,0,97,1,0,-2,0,0,1,,0,0,0,0,0
245056,7,10,10,3,3,20,0,109,1,0,-2,0,0,1,,0,0,0,0,0
245058,7,13,16,3,3,68,0,99,39,0,-2,0,0,1,,0,0,0,0,0
245065,7,10,13,3,3,59,0,102,38,0,-2,10,0,1,,0,0,0,0,0
245086,7,10,16,3,3,43,0,97,1,1,1,8,2,1,,16,0,0,0,0
245090,7,10,10,3,3,9,0,77,1,0,-2,35,1,1,,35,0,0,0,0
245091,7,16,16,4,3,88,0,117,39,1,2,10,0,1,,0,0,0,0,0
245095,7,12,12,4,3,77,0,94,39,1,1,37,1,1,,37,0,0,0,0
246005,3,12,12,3,3,54,0,121,1,1,2,36,1,1,,36,0,0,0,0
246008,3,7,12,3,3,30,0,101,1,1,2,35,2,1,,70,0,0,0,0
246011,3,12,12,2,3,61,0,103,43,0,-2,0,0,1,,0,0,0,0,0
246012,3,14,12,4,3,39,0,86,40,1,2,25,1,1,,25,0,0,0,0
246016,3,-1,-1,3,3,32,0,92,1,0,-2,24,2,1,,48,1,1,0,0
246017,3,12,10,3,3,14,0,85,1,1,2,25,1,1,,25,0,0,0,0
247001,2,12,7,3,3,75,1,125,1,1,2,23,1,1,,23,0,0,0,0
247005,2,-3,-3,3,3,10,0,67,39,1,1,36,0,1,,0,1,1,0,0
248004,3,-1,7,3,3,-3,0,120,39,0,-2,0,0,1,,0,1,0,0,1
248012,3,-1,-1,3,3,28,0,102,1,0,-2,20,1,1,,20,1,1,0,0
248013,3,7,13,3,3,19,0,94,44,1,1,30,2,1,,60,0,0,0,0
248018,3,7,7,3,3,-3,0,71,39,1,2,0,0,1,,0,0,0,0,1
249002,5,7,12,1,3,50,0,118,39,0,-2,36,2,1,,72,0,0,0,0
249015,5,13,12,3,3,72,1,113,1,0,-2,6,1,1,,6,0,0,0,0
249016,5,12,7,3,3,60,0,120,1,0,-2,10,2,1,,20,0,0,0,0
249017,5,-3,-3,3,3,41,0,101,1,1,2,35,1,1,,35,1,1,0,0
249018,5,12,12,3,3,31,0,115,1,0,-2,0,0,1,,0,0,0,0,0
249019,5,7,16,3,3,55,0,123,1,1,0,25,2,1,,50,0,0,0,0
249031,5,-3,-3,4,3,36,0,104,39,0,-2,0,0,1,,0,1,1,0,0
249033,5,7,7,3,3,71,0,113,39,1,1,30,0,1,,0,0,0,0,0
249038,5,12,12,3,3,90,0,104,1,0,-2,20,1,1,,20,0,0,0,0
249041,5,12,12,3,3,23,0,99,39,0,-2,35,2,1,,70,0,0,0,0
253004,3,10,12,3,3,47,0,129,40,1,2,20,1,1,,20,0,0,0,0
253006,3,7,7,3,3,9,0,89,44,0,-2,36,1,1,,36,0,0,0,0
253012,3,7,10,3,3,42,0,101,43,0,-2,30,1,1,,30,0,0,0,0
253014,3,7,-3,4,3,45,0,103,39,0,-2,10,2,1,,20,0,1,0,0
254005,4,12,12,3,2,6,0,61,96,0,-2,0,0,1,,0,0,0,0,0
254006,4,14,16,4,2,29,0,91,7,0,-2,0,0,1,,0,0,0,0,0
255001,9,13,14,4,3,65,0,101,39,1,1,0,0,1,,0,0,0,0,0
255006,9,10,12,2,3,20,0,106,39,1,2,37,1,1,,37,0,0,0,0
255010,9,-1,-1,3,3,70,0,92,96,0,-2,33,1,1,,33,1,1,0,0
255024,9,10,12,3,3,35,0,98,39,0,-2,25,1,1,,25,0,0,0,0
255025,9,13,7,3,3,60,0,123,1,0,-2,36,2,1,,72,0,0,0,0
255038,9,13,7,3,3,42,0,97,1,1,2,1,0,1,,0,0,0,0,0
255044,9,-1,-1,3,3,57,0,97,96,0,-2,34,6,1,,204,1,1,0,0
255050,9,12,10,3,3,25,0,106,39,1,4,30,1,1,,30,0,0,0,0
255055,9,13,10,4,3,17,0,91,39,1,2,15,2,1,,30,0,0,0,0
256001,9,-3,-3,4,3,21,0,88,1,0,-2,42,0,1,,0,1,1,0,0
256004,9,12,12,4,3,83,1,133,40,0,-2,0,0,1,,0,0,0,0,0
256011,9,10,10,3,3,53,0,94,1,0,-2,40,1,1,,40,0,0,0,0
256019,9,7,7,3,3,27,0,120,39,1,2,8,2,1,,16,0,0,0,0
256021,9,16,14,4,3,54,0,112,1,0,-2,20,1,1,,20,0,0,0,0
256022,9,12,12,4,3,84,0,125,38,1,2,0,0,1,,0,0,0,0,0
256027,9,12,-3,3,3,24,0,97,44,1,2,18,1,1,,18,0,1,0,0
257001,2,-1,7,3,3,31,0,76,1,1,2,32,1,1,,32,1,0,0,0
257004,2,-1,10,3,3,90,1,117,43,1,1,3,1,1,,3,1,0,0,0
257006,2,13,7,3,3,33,0,92,1,1,1,0,0,1,,0,0,0,0,0
257007,2,7,12,3,3,60,0,91,44,1,2,0,0,1,,0,0,0,0,0
